일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20230108,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,587,460,347,244,186,246,291,426,563,857,1092,1185,1442,1526,1558,1628,1730,1430,1345,1083,1136,939,730,568
20230109,월,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,406,274,219,167,217,416,770,1340,1638,1586,1485,1369,1404,1655,1552,1557,1686,1930,2078,1782,1484,1297,1081,873
20230110,화,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,652,421,290,187,216,382,740,1353,1693,1570,1521,1464,1364,1689,1492,1625,1605,1937,2070,1895,1601,1443,1161,999
20230111,수,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,704,478,318,213,240,386,739,1344,1569,1482,1603,1366,1298,1640,1639,1547,1756,1879,2105,1930,1559,1488,1156,940
20230112,목,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,718,531,344,223,260,457,736,1386,1612,1569,1521,1395,1387,1601,1567,1679,1562,1915,1963,2120,1587,1531,1222,1054
20230113,금,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,720,532,392,256,227,396,700,1300,1499,1485,1472,1364,1423,1658,1543,1713,1710,1847,1964,2112,1754,1497,1265,1017
20230114,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,754,578,419,284,271,339,470,651,1085,1176,1341,1392,1431,1601,1663,1611,1705,1754,1524,1395,1362,1093,906,787
20230115,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,602,470,337,246,233,248,284,424,649,897,1080,1120,1270,1505,1557,1559,1489,1477,1268,1057,1061,909,685,564
20230116,월,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,409,309,229,164,242,443,783,1354,1653,1582,1543,1332,1345,1639,1619,1540,1615,1771,2077,2067,1725,1553,1136,926
20230117,화,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,691,470,337,208,245,455,787,1332,1669,1588,1565,1435,1388,1700,1639,1693,1601,1827,1954,2153,1778,1571,1286,1005
20230118,수,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,756,491,356,231,287,408,786,1280,1586,1660,1509,1372,1400,1671,1696,1663,1741,1703,2115,2134,1703,1648,1284,965
20230119,목,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,733,595,419,267,239,426,719,1346,1667,1624,1617,1293,1347,1614,1703,1603,1798,1750,2123,2129,1644,1663,1277,992
20230120,금,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,712,538,378,255,267,381,699,1189,1554,1548,1376,1405,1513,1667,1766,1801,1805,1917,2018,1715,1339,1160,1154,839
20230121,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,679,498,368,230,225,280,339,409,565,817,1055,1339,1469,1377,1356,1279,1431,1318,1083,942,987,854,659,486
20230122,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,377,256,142,126,121,193,297,520,744,791,1039,1276,1879,1652,1856,1847,1819,1706,1542,1120,982,903,712,446
20230123,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,313,259,160,129,118,182,231,321,448,601,870,1139,1421,1399,1422,1428,1511,1503,1272,1066,1063,932,753,518
20230124,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,423,341,277,156,155,232,266,321,493,622,787,964,1025,1136,1187,1236,1209,1224,1037,899,933,804,594,502
20230125,수,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,337,253,146,138,180,355,767,1337,1617,1569,1410,1326,1310,1547,1504,1531,1518,1798,2003,1682,1252,1274,1025,849
20230126,목,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,575,427,280,176,175,350,638,1112,1356,1350,1275,1131,1151,1329,1319,1490,1478,1719,1733,1413,1210,1226,991,776
20230127,금,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,586,470,318,206,188,344,725,1211,1608,1454,1405,1403,1349,1597,1608,1619,1746,1869,1941,2113,1624,1601,1374,1033
20230128,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,742,625,453,297,262,314,485,650,954,1152,1254,1312,1435,1637,1646,1584,1774,1565,1639,1354,1233,1104,935,766
20230129,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,672,464,360,238,200,255,312,425,617,836,1058,1232,1358,1591,1594,1659,1690,1575,1338,1181,1059,900,742,562
